X,Y,OBJECTID,ID,IsNTMT,STREET,BLOCKNUM,BLOCKDIR,CROSSSTREET,CROSSBLOCK,CROSSBLOCKDIR,COUNTDATE,VOLUME,COUNTTYPE,DIRECTION,DESCRIPTION,DISTRICT,COUNTSTATION,BUDGETYR,COMMENTS,VERIFIEDON,AVG_SPEED
646180.302821521,894971.058398947,25947,13780,0,GRAND AVE,1200,N,ROOSEVELT ST,1500,N,2015/09/01 07:00:00+00,6830,MID4,South Bound,Special,4,2420,2016,,2015/09/10 15:08:13+00,37
646180.302821521,894971.058398947,25948,13780,0,GRAND AVE,1200,N,16TH AVE,1600,N,2015/09/02 07:00:00+00,6971,MID4,South Bound,Special,4,2420,2016,,2015/09/09 22:06:44+00,37
646226.129265092,895018.281496063,25949,13780,0,GRAND AVE,1200,N,ROOSEVELT ST,1500,N,2015/09/01 07:00:00+00,6298,MID4,North Bound,Special,4,2420,2016,,2015/09/10 15:08:13+00,37
646226.129265092,895018.281496063,25950,13780,0,GRAND AVE,1200,N,16TH AVE,1600,N,2015/09/02 07:00:00+00,6476,MID4,North Bound,Special,4,2420,2016,,2015/09/09 22:06:44+00,37
645643.030183729,1012855.87007874,25951,13784,1,DOVE VALLEY RD,33000,N,16TH AVE,1580,W,2015/09/09 07:00:00+00,2083,MID2,West Bound,Cut Thru Traffic,2,5483,2016,,2015/09/14 20:16:20+00,46
645649.037401576,1012815.8339895,25952,13784,1,DOVE VALLEY RD,33000,N,17TH LN,1750,W,2015/09/09 07:00:00+00,2094,MID2,East Bound,Cut Thru Traffic,2,5483,2016,,2015/09/14 20:16:20+00,46
614512.756233595,987534.427821524,25955,13786,1,64TH AVE,6400,W,HACKAMORE DR,25050,N,2015/09/11 07:00:00+00,1587,MID2,South Bound,Cut Thru Traffic,1,4500,2016,,2015/09/24 15:51:20+00,29
614564.469816271,987541.564304464,25956,13786,1,64TH AVE,6400,W,DESERT HOLLOW DR,25200,N,2015/09/11 07:00:00+00,1231,MID2,North Bound,Cut Thru Traffic,1,4500,2016,,2015/09/24 15:51:20+00,29
599347.200131234,897584.88976378,25957,13787,1,86TH DR,8600,W,MCDOWELL RD,1600,N,2015/09/12 07:00:00+00,1474,MID2,South Bound,Cut Thru Traffic,"5, 7",6117,2016,,2015/09/24 15:54:50+00,29
599420.37664042,897581.018700786,25958,13787,1,86TH DR,8600,W,GRANADA RD,1900,N,2015/09/12 07:00:00+00,1170,MID2,North Bound,Cut Thru Traffic,"5, 7",6117,2016,,2015/09/24 15:54:50+00,29
596942.169619422,869732.25688976,25959,13788,0,91ST AVE,9100,W,BROADWAY RD,4400,S,2015/09/15 07:00:00+00,2892,MID2,South Bound,Special,7,1125,2016,,2015/09/22 15:55:47+00,59
596969.639435697,869732.167979002,25960,13788,0,91ST AVE,9100,W,SOUTHERN AVE,6000,S,2015/09/15 07:00:00+00,3341,MID2,North Bound,Special,7,1125,2016,,2015/09/22 15:55:47+00,59
655075.662401576,973626.917979002,25961,13789,1,ROSE GARDEN LN,21000,N,7TH ST,700,E,2015/09/17 07:00:00+00,645,MID2,West Bound,Speed Hump,2,1497,2016,,2015/09/24 15:35:58+00,25
655033.009842519,973583.314960629,25962,13789,1,ROSE GARDEN LN,21000,N,8TH ST,800,E,2015/09/17 07:00:00+00,603,MID2,East Bound,Speed Hump,2,1497,2016,,2015/09/24 15:35:58+00,25
650997.461942255,931425.125,25979,13799,1,BUTLER DR,8500,N,1ST DR,100,W,2015/09/22 07:00:00+00,383,MID2,West Bound,Cut Thru Traffic,3,5230,2016,,2015/09/30 15:37:51+00,25
650997.546916012,931479.703740157,25980,13799,1,BUTLER DR,8500,N,3RD AVE,300,W,2015/09/22 07:00:00+00,616,MID2,East Bound,Cut Thru Traffic,3,5230,2016,,2015/09/30 15:37:51+00,25
652076.079724409,931590.843832023,25997,13810,1,CENTRAL AVE,0,W,BUTLER DR,8500,N,2015/09/29 07:00:00+00,7803,MID2,South Bound,Cut Thru Traffic,6,3168,2016,,2015/10/02 15:10:56+00,42
652130.911417324,931590.760826774,25998,13810,1,CENTRAL AVE,0,W,ORCHID LN,8600,N,2015/09/29 07:00:00+00,7460,MID2,North Bound,Cut Thru Traffic,6,3168,2016,,2015/10/02 15:10:56+00,42
657394.611220472,906600.912401572,26011,13817,1,12TH ST,1200,E,INDIANOLA AVE,3820,N,2015/10/05 07:00:00+00,3615,MID2,South Bound,Cut Thru Traffic,4,3108,2016,,2015/10/15 15:28:13+00,33
657443.388779528,906600.846784778,26012,13817,1,12TH ST,1200,E,FAIRMOUNT AVE,3990,N,2015/10/05 07:00:00+00,2657,MID2,North Bound,Cut Thru Traffic,4,3108,2016,,2015/10/15 15:28:13+00,33
